1	1	0	0	1	1
2	1	0	0	0	0
3	0	1	0	1	1
4	1	1	1	0	0
5	1	0	1	0	1
6	1	0	1	0	1
7	1	0	0	0	0
8	0	1	0	0	1
9	0	1	1	1	1
10	1	1	1	1	0
11	1	1	1	1	1
12	0	0	0	0	0
13	0	0	0	1	0
14	1	0	0	1	0
15	1	1	0	0	0
16	1	0	1	0	0
17	0	0	0	0	1
18	1	0	0	0	1
19	1	1	0	0	1
20	1	0	1	1	1
21	1	0	0	0	0
22	1	0	0	1	1
23	1	1	0	1	0
24	1	1	1	0	0
25	1	1	1	0	1
26	1	1	1	0	0
27	1	1	1	0	0
28	0	0	1	1	1
29	0	1	1	1	1
30	1	0	1	1	1
31	0	0	0	1	0
32	0	1	0	1	1
33	1	0	1	1	1
34	0	0	0	1	0
35	1	1	1	0	1
36	0	1	1	0	1
37	0	0	0	0	1
38	1	0	1	0	1
39	1	0	0	1	0
40	0	1	1	1	1
41	0	1	0	1	0
42	1	0	0	1	1
43	0	0	0	1	0
44	0	0	0	0	1
45	1	0	1	0	0
46	1	0	1	1	1
47	1	0	1	0	0
48	0	1	1	0	0
49	1	0	1	0	0
50	1	1	1	0	1
51	0	1	1	0	0
52	1	1	0	0	0
53	1	1	1	0	1
54	1	0	1	1	0
55	0	1	0	1	0
56	1	1	0	0	0
57	0	0	0	0	0
58	1	0	1	0	1
59	1	0	1	1	1
60	0	1	1	0	1
61	0	1	1	0	1
62	1	0	0	1	1
63	1	1	1	1	1
64	0	1	0	0	1
65	0	1	1	0	0
66	1	1	1	0	0
67	0	1	1	1	1
68	0	0	0	1	0
69	0	0	0	0	1
70	0	0	0	0	0
71	1	1	0	0	0
72	1	0	1	1	0
73	0	0	1	0	0
74	0	0	1	1	1
75	0	0	0	0	0
76	0	0	1	0	1
77	0	0	0	0	1
78	1	1	1	0	1
79	1	1	1	0	1
80	1	0	0	1	1
81	0	1	0	1	0
82	1	1	1	0	1
83	1	1	1	0	1
84	1	0	0	1	1
85	0	1	0	1	0
86	1	1	1	0	0
87	1	1	0	1	0
88	0	1	1	0	0
89	0	0	0	0	1
90	0	0	0	0	1
91	0	0	0	1	0
92	0	0	0	1	1
93	0	1	0	0	1
94	0	1	0	1	1
95	0	0	0	1	1
96	1	0	1	1	1
97	1	1	1	0	0
98	1	0	0	1	0
99	0	0	0	0	0
100	0	0	0	1	0
101	1	0	0	0	0
102	0	1	1	1	0
103	0	0	0	1	0
104	0	1	1	1	0
105	1	1	0	0	0
106	1	1	1	0	1
107	0	0	1	0	1
108	0	0	0	1	1
109	0	1	1	0	0
110	1	1	0	0	0
111	0	1	0	0	0
112	1	0	0	0	1
113	0	1	0	1	1
114	1	0	1	0	0
115	1	0	1	0	1
116	1	0	1	1	1
117	0	1	1	0	0
118	1	1	1	0	1
119	1	0	0	0	0
120	1	0	1	1	1
121	1	0	0	1	1
122	1	1	1	0	0
123	1	1	1	1	0
124	1	1	1	0	1
125	0	1	1	1	0
126	0	1	0	1	0
127	1	1	1	1	0
128	0	1	0	1	0
129	1	0	1	1	1
130	1	1	0	1	1
131	0	0	0	1	1
132	0	1	1	1	0
133	0	0	0	1	0
134	1	1	1	1	0
135	0	0	1	0	0
136	0	0	0	1	0
137	0	0	0	1	0
138	1	0	1	1	0
139	0	1	0	0	0
140	0	0	1	1	1
141	0	1	1	1	1
142	1	0	1	1	0
143	0	1	1	1	0
144	1	1	1	0	1
145	1	1	1	0	0
146	0	1	1	0	0
147	1	0	1	0	0
148	1	1	0	1	1
149	0	0	0	1	0
150	0	0	1	1	1
151	0	0	0	0	0
152	1	0	1	0	0
153	1	0	0	0	0
154	0	0	0	0	1
155	1	0	1	0	0
156	0	1	0	1	0
157	1	1	1	1	1
158	1	0	1	0	0
159	1	1	0	1	0
160	0	1	1	1	1
161	1	0	1	0	0
162	0	1	1	0	0
163	1	1	1	1	0
164	1	1	0	0	0
165	1	1	1	0	0
166	0	1	0	1	1
167	0	1	0	1	1
168	1	1	0	1	0
169	1	1	1	0	1
170	0	0	0	1	1
171	1	1	1	1	1
172	1	1	1	1	0
173	1	0	1	1	0
174	0	0	0	1	0
175	0	0	0	1	1
176	0	1	1	1	1
177	1	0	1	0	1
178	0	1	0	1	0
179	0	1	1	1	1
180	0	1	0	0	1
181	0	0	0	1	0
182	0	0	1	0	0
183	1	0	0	1	1
184	0	0	0	1	0
185	0	1	1	1	0
186	1	0	1	0	1
187	1	1	0	0	0
188	1	0	1	1	1
189	1	1	0	1	1
190	1	0	1	1	0
191	1	1	0	1	1
192	1	1	1	0	1
193	1	1	1	0	0
194	0	0	1	0	1
195	0	1	0	1	0
196	0	0	1	1	0
197	0	0	1	1	1
198	0	0	0	1	1
199	1	1	1	1	1
200	1	1	1	0	1
201	0	0	1	1	1
202	1	0	0	0	0
203	0	0	1	0	1
204	0	0	0	1	0
205	0	0	0	0	0
206	0	0	0	1	1
207	0	1	0	1	1
208	0	0	0	1	0
209	0	0	1	1	1
210	1	1	1	0	1
211	0	1	1	0	1
212	1	1	1	0	0
213	1	1	1	0	1
214	0	1	1	1	1
215	0	0	0	0	1
216	0	1	0	1	0
217	1	0	1	1	0
218	1	1	0	0	1
219	1	1	1	0	0
220	0	1	1	1	1
